Criminal Offenses - On campus
Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,211291,Bucknell University,1,Bucknell University- Main Campus,3578,0,0,0,,,2,,,0,0,3,0,0
2001,153001,Buena Vista University,1,Main Campus and GPS sites,2910,0,0,3,,,0,,,1,3,7,2,0
2001,230825,Burlington College,1,Main Campus,234,0,0,0,,,0,,,2,0,0,0,0
2001,150163,Butler University,1,Butler University,4264,0,0,0,,,0,,,0,1,4,1,3
2001,198109,Cabarrus College of Health Sciences,1,Main Campus,280,0,0,0,,,0,,,0,0,0,0,0
2001,211352,Cabrini College,1,Main Campus,2100,0,0,2,,,0,,,0,1,1,0,0
2001,215114,Cairn University-Langhorne,1,Main Campus,1384,0,0,0,,,0,,,0,0,4,0,0
2001,215114,Cairn University-Langhorne,2,Advance Program at Timothy Academy,1384,0,0,0,,,0,,,0,0,0,0,0
2001,183910,Caldwell University,1,Main Campus,2238,0,0,0,,,0,,,0,1,0,0,0
2001,110361,California Baptist University,1,Main Campus,2090,0,0,0,,,0,,,0,0,17,1,0
2001,110361,California Baptist University,3,California Baptist University- San Bernardino Site,2090,0,0,0,,,0,,,0,0,0,0,0
2001,110361,California Baptist University,4,CA Baptist Univ.- High Desert Site-Victorville,2090,0,0,0,,,0,,,0,0,0,0,0
2001,110918,California Christian College,1,Main Campus,73,0,0,0,,,0,,,0,0,0,0,0
2001,110918,California Christian College,2,CALIFORNIA CHRISTIAN COLLEGE,73,0,0,0,,,0,,,0,0,0,0,0
2001,110370,California College of the Arts,1,Oakland Campus,1290,0,0,0,,,0,,,0,0,3,0,0
2001,110370,California College of the Arts,2,San Francisco Campus,1290,0,0,0,,,0,,,0,0,0,0,0
2001,110945,California College San Diego,1,Main Campus,59,0,0,0,,,0,,,0,0,1,0,0
